ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
61312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61320,61320.0,B5,G6350,S,2210455.0,0.0,41.3552933,-89.1704383,84896.0,28492.0,zip,IL,IL,Dalzell,"Ottawa, IL",Bureau County,,,,,,,,,,,,,,,,,81611.79245586075,85854.09608846913,86005.67820461234,92125.0316419367,100965.3521104963,109506.26417518483,113858.04729040385,128502.57548046042,138641.59192974708,149112.87580318973,155904.456934425
61314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61443,61443.0,B5,G6350,S,260407776.0,43377.0,41.2636905,-89.9449241,84981.0,8546.0,zip,IL,IL,Kewanee,"Davenport-Moline-Rock Island, IA-IL",Henry County,,,,,,,,,,64160.84426515894,61204.28053363348,59112.4895131097,59203.754474859714,57417.48377032531,54316.59398890179,53248.5572639833,54081.11487610322,52461.56616609843,53440.25793649091,54667.172565078596,59124.0778933371,63310.51742140065,62999.464909498296,64028.55772828078,70344.19462040775,71724.48997188931,75068.2251410793
61234,61234.0,B5,G6350,S,144278166.0,458992.0,41.4179691,-89.9143438,84844.0,21111.0,zip,IL,IL,Annawan,"Davenport-Moline-Rock Island, IA-IL",Henry County,,,,,,,,,,97485.67278935191,93900.404549619,92489.06402309756,92739.3267264723,95322.07146054976,98217.15264022781,102654.83728049001,105221.67865379808,108559.43958785183,111244.84921506316,113680.62197772607,118751.911228274,127614.9051214984,134264.79796420774,141991.84669682084,145784.3259923075,155431.54034659825,170168.13851948
61379,61379.0,B5,G6350,S,102945830.0,84494.0,41.3802548,-89.6063009,84946.0,19981.0,zip,IL,IL,Wyanet,"Ottawa, IL",Bureau County,,,,,,,,,,74453.78443779524,71741.49441764104,69691.39352859266,71551.69422935821,70813.89194227631,68395.4186584899,68178.24412908602,69739.81744469787,72138.18147759842,72386.98535220548,80380.63373267821,88007.64869475194,97606.42800675188,101836.65198616074,110660.29675108484,116931.85901493342,126153.45356176693,131285.763327191
61345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61361,61361.0,B5,G6350,S,230104096.0,778841.0,41.4122785,-89.7737746,84930.0,20255.0,zip,IL,IL,Sheffield,"Ottawa, IL",Bureau County,,,,,,,,,,70742.92692205039,69278.42976461984,69323.3731751842,71644.64152792323,70136.72187598517,71067.0505271829,75164.5197607128,72113.84844724073,72004.38085959855,72573.23723909252,78595.74517473472,91046.14943549184,99243.22314608652,105110.09793186282,106500.27749909583,116489.33555378059,116449.23972818199,119204.636691542
61421,61421.0,B5,G6350,S,257061381.0,209610.0,41.187535,-89.6479085,84960.0,21893.0,zip,IL,IL,Bradford,"Peoria, IL",Stark County,,,,,,,,,,,,,,,,,97197.696247557,94853.2184029969,95452.61335462074,93395.56621218678,110865.52663573842,121792.88564281333,120724.9672829536,122956.7005773975,117883.39424786676,124699.97353471775,122043.650164054
61330,61330.0,B5,G6350,S,189824823.0,60357.0,41.5351029,-89.2773128,84906.0,21599.0,zip,IL,IL,La Moille,"Ottawa, IL",Bureau County,,,,,,,,,,,,,,,,,,87759.25451139135,89596.4259460722,99488.41711296508,112526.897071029,121736.32298107118,125007.32433850375,135251.43312864265,147086.49218509576,153243.804522783,160655.038391599
61349,61349.0,B5,G6350,S,160538451.0,80134.0,41.5486746,-89.4370733,84922.0,22992.0,zip,IL,IL,Ohio,"Ottawa, IL",Bureau County,,,,,,,,,,,,,,,,,,77748.09399809485,85125.59177643801,86767.70079640023,99898.17517997533,114920.87099268999,119096.62446790091,125688.65120749416,133132.33003505858,134852.8059102186,138478.302094428
61323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61376,61376.0,B5,G6350,S,253049486.0,174627.0,41.5384254,-89.6017903,84943.0,18298.0,zip,IL,IL,Walnut,"Ottawa, IL",Bureau County,,,,,,,,,,74747.37072221818,71429.71766417724,70098.49163067905,69906.72761157785,69946.0983499263,71214.05509700679,73393.54099336195,77242.19377927529,80120.74201266239,80120.07931811929,83502.73798121023,92530.34828955175,105946.05776986033,112349.35403464366,118498.28624963142,126266.53860314225,132774.18595202526,139385.29137959
61337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61342,61342.0,B5,G6350,S,280122713.0,367549.0,41.5436772,-89.0840885,84917.0,10417.0,zip,IL,IL,Mendota,"Ottawa, IL",La Salle County,,,,,,,,,,100274.70277068518,94481.30307068293,90200.03890333029,91827.85209775686,89777.77857751398,92041.82193096628,95011.68188529008,98287.69818321387,99868.42548422648,102932.01245948166,106366.56468628434,111108.78578428092,122747.67025159491,136057.05789498708,140685.78620973366,149278.72495184865,161159.2490950685,169259.867403683
61317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61367,61367.0,B5,G6350,S,112192918.0,83690.0,41.6214123,-89.2594881,84934.0,24003.0,zip,IL,IL,Sublette,"Dixon, IL",Lee County,,,,,,,,,,,,,,,,,,,,,,,179882.99322938564,176336.50095481158,186145.558026663,192221.96359419878,199684.642396013
61243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61277,61277.0,B5,G6350,S,346253071.0,2301803.0,41.6135825,-89.9305782,84876.0,16249.0,zip,IL,IL,Prophetstown,"Sterling, IL",Whiteside County,,,,,,,,,,106849.81915985492,103058.18070514959,100871.80018013266,102002.83596792466,102105.19482267725,104410.31460284925,107809.97623715992,106737.51793273492,104595.01169838692,100805.0037773791,101306.36366455506,114201.15786717541,121477.49323143833,129642.98448814276,138236.54424061268,141380.13958121525,147593.2233577294,155237.947462811
61346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
