scraped_city,state,facility,operator,street,zip_code,city_in_desc
Los Angeles,CA,818 West 7th Street,"Downtown Properties Holdings, LLC",818 West 7th Street,90017,Los Angeles
Los Angeles,CA,Windstream Los Angeles,Windstream,530 West 6th St,90014,Los Angeles
Los Angeles,CA,365 Data Centers - Los Angeles 3,365 Data Centers,900 N. Alameda St,90012,Los Angeles
Los Angeles,CA,Lumen Los Angeles,Lumen,818 W. 7th Street,90017,Los Angeles
Los Angeles,CA,Quinby Building,Quinby Building,650 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Hostrunway Los Angeles,Hostrunway,900 N Alameda St #200,90012,Los Angeles
Los Angeles,CA,China Telecom One Wilshire,China Telecom Americas,624 S Grand Ave,90017,Los Angeles
Los Angeles,CA,611 Wilshire,Xyvest Holdings,611 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,Telecom Center LA,BGC Group,530 West 6th Street,90017,Los Angeles
Los Angeles,CA,NocRoom Los Angeles Colocation,NocRoom Miami Colocation VPS,530 W 6th Street Penthouse,90014,Los Angeles
Los Angeles,CA,Long Beach Data Center,Long Beach Data Center,3910 E 7th St,90804,Long Beach
Los Angeles,CA,IHNetworks Datacenter (SFV1),"IHNetworks, LLC",20339 Nordhoff Street,91311,Chatsworth
Los Angeles,CA,WebNX Los Angeles,WebNX Internet Services,530 W 6th St,90017,Los Angeles
Los Angeles,CA,Subrigo - 624 South Grand,Subrigo,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Lumen Los Angeles 4,Lumen,600 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,600 West 7th Street (LAX10),Digital Realty,600 West 7th Street,90017,Los Angeles
Los Angeles,CA,2260 E El Segundo Blvd (LAX12),Digital Realty,2260 East El Segundo Boulevard,90245,El Segundo
Los Angeles,CA,Hivelocity - Los Angeles 2,Hivelocity,600 W. 7th St,90017,Los Angeles
Los Angeles,CA,Hivelocity - Los Angeles 1,Hivelocity,624 S Grand Ave,90017,Los Angeles
Los Angeles,CA,N/A,N/A,N/A,N/A,N/A
Los Angeles,CA,4400 Pacific Blvd,Digital Realty,4400 Pacific Blvd,90058,Vernon
Los Angeles,CA,Serverfarm Los Angeles Data Center LAX1,Serverfarm,444 North Nash Street,90245,El Segundo
Los Angeles,CA,Centersquare - Los Angeles LAX5-A,Csquare,2681 Kelvin Ave,92614,Irvine
