scraped_city,state,facility,operator,street,zip_code,city_in_desc,first_permit,street_standard,address_count
Chicago,IL,Connect Chicago,Connect Data Centers by Oppidan,245 Kehoe Blvd,60188,Carol Stream,,245_kehoe_blvd,2
Chicago,IL,Edged Chicago ORD3,Edged Energy,2725 Bilter Rd,60502,Aurora,,2725_bilter_rd,8
Chicago,IL,8080 S DuSable Lake Shore Drive,Related Digital,8080 S DuSable Lake Shore Dr,60617,Chicago,,8080_s_dusable_lake_shore_dr,2
Chicago,IL,Edged Chicago ORD1,Edged Energy,2815 Bilter Rd,60502,Aurora,,2815_bilter_rd,2
Chicago,IL,GDC - Chicago CH4 Data Center,"NTT DATA, Inc.",1200 N Arlington Heights Rd,60143,Itasca,,1200_n_arlington_heights_rd,2
Chicago,IL,Edged Chicago Campus,Edged Energy,2725-2815 Bilter Rd,60502,Aurora,,2725_2815_bilter_rd,2
Chicago,IL,Lumen Chicago 3,Lumen,200 N LaSalle St,60601,Chicago,,200_n_lasalle_st,2
Chicago,IL,Meta DeKalb Campus,Meta,1550-2050 Metaverse Wy,60115,DeKalb,,1550_2050_metaverse_wy,2
Chicago,IL,Microsoft Plano (IL),Microsoft,Eldamain Rd & Corneils Rd,60545,Plano,,eldamain_rd_corneils_rd,2
Chicago,IL,NTT Chicago Campus,"NTT DATA, Inc.",255-275 Pierce Rd,60143,Itasca,,255_275_pierce_rd,2
Chicago,IL,KARIS DeKalb Campus,KARIS Critical,Gurler Rd & Peace Rd,60115,DeKalb,,gurler_rd_peace_rd,2
Chicago,IL,Morris Technology Park,Tract,US-6 & County Rd 2000 E,60450,Morris,,us_6_county_rd_2000_e,2
Chicago,IL,KARIS Hoffman Estates,KARIS Critical,Higgins Rd & Illinois Rte 59,60010,Hoffman Estates,,higgins_rd_illinois_rte_59,2
Chicago,IL,WOWaccess Data Center,WOWaccess,184 Shuman Blvd,60563,Naperville,,184_shuman_blvd,2
Chicago,IL,Compass Hoffman Estates,Compass Datacenters,3333 Beverly Rd,60179,Hoffman Estates,,3333_beverly_rd,2
Chicago,IL,Axon Datacenter,Axon Datacenters,7093 Barry St,60018,Rosemont,,7093_barry_st,2
Chicago,IL,DLS Internet LITH,DLS Internet Services,950 E. Oak Street,60156,Lake in the Hills,,950_e_oak_st,2
Chicago,IL,Lumen South Holland 1,Lumen,200 E 166th St,60473,South Holland,,200_e_166th_st,2
Chicago,IL,CBTS Lombard Data Center I,CBTS,1850 W Springer,60148,Lombard,,1850_w_springer,2
Chicago,IL,WHP Braidwood Campus,Western Hospitality Partners,W Kennedy Rd,60408,Braidwood,,w_kennedy_rd,18
Chicago,IL,Hostrunway Lombard,Hostrunway,1850 Springer Dr,60148,Lombard,,1850_springer_dr,2
Chicago,IL,NetSource Naperville 2,"NetSource Communications, Inc.",1717 Park St.,60563,Naperville,,1717_park_st,2
Chicago,IL,NaviSite Oak Brook,"NaviSite, Inc.",800 Jorie Blvd,60523,Oak Brook,,800_jorie_blvd,2
Chicago,IL,427 LaSalle,CoreSite,427 South LaSalle Street,60605,Chicago,,427_s_lasalle_st,2
Chicago,IL,Sinch Data Center,Sinch,717 S Wells St,60607,Chicago,,717_s_wells_st,2
Chicago,IL,Lumen Chicago,Lumen,111 N Canal St,60606,Chicago,,111_n_canal_st,2
Chicago,IL,Lumen 350 E Cermak,Lumen,350 E Cermark Road,60616,Chicago,,350_e_cermark_rd,2
Chicago,IL,Meta DeKalb - Building 5,Meta,1550 Metaverse Wy,60115,DeKalb,,1550_metaverse_wy,4
Chicago,IL,Lumen Chicago 4,Lumen,600 West Chicago Ave.,60610,Chicago,,600_w_chicago_ave,2
Chicago,IL,Lumen Chicago 5,Lumen,600 S. Federal,60605,Chicago,,600_s_federal,2
Chicago,IL,Meta DeKalb - Building 4,Meta,1750 Metaverse Wy,60115,DeKalb,,1750_metaverse_wy,4
Chicago,IL,Meta DeKalb - Building 2,Meta,2050 Metaverse Wy,60115,DeKalb,,2050_metaverse_wy,4
Chicago,IL,Lumen Arlington Heights 1,Lumen,"1305 E. Algonquin Avenue,",60005,Arlington Heights,,1305_e_algonquin_ave,2
Chicago,IL,Lumen Broadview 1,Lumen,2101 Roberts Drive,60155,Broadview,,2101_roberts_dr,2
Chicago,IL,Hostway Boeing Data Center,"Hostway Services, Inc",100 North Riverside Plaza,60606,Chicago,,100_n_riverside_plaza,2
Chicago,IL,CBTS Lombard Data Center II,CBTS,564 Winter Lane,60148,Lombard,,564_winter_ln,2
Chicago,IL,Lumen Chicago 2,Lumen,900 N. Kingsbury Street,60610,Chicago,,900_n_kingsbury_st,2
Chicago,IL,T5 Data Centers - T5@Chicago V,T5 Data Centers,within Elk Grove Village,TBA,Elk Grove Village,,within_elk_grove_village,1
Chicago,IL,Colovore ORD01,Colovore,"within Aurora, 41 miles from Chicago",TBA,Aurora,,within_aurora_41_miles_from_chicago,1
