ZCTA5A,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024
46327,3.996681133520552,4.042653425006367,4.007123655913978,3.929958960328317,3.897690655209452,3.8256091101694913,3.831570597567425,3.857753595025262,3.810094952523738,3.894320357370772,4.043810758263124,4.1580403002765705,4.113147830673876,4.180925303696045
46340,4.4542553191489365,4.518742442563482,4.66865315852205,4.653352353780313,4.702068965517241,4.278008298755187,4.109709962168979,3.7140864714086472,3.553706505295008,4.123699421965318,4.399816176470588,4.507079646017699,4.611893583724569,4.648892534864643
46341,4.228709288299156,4.231554353172651,4.253920019448159,4.24095165780815,4.131812756928789,4.042221325803415,4.094775055101776,4.0886648571797855,4.150187411141269,4.136266229673516,4.18106538128785,4.320857650342552,4.3295961422543705,4.414880952380952
46342,4.4306893374654495,4.368386243386244,4.368156175169447,4.36826491340603,4.25420855032094,4.284090442775658,4.2993327773144285,4.346887720488467,4.351559198850672,4.374467038373237,4.497384025113359,4.568164421310471,4.651958747308375,4.687190662628352
46345,4.157635467980295,4.0,4.049586776859504,4.151162790697675,3.875598086124402,3.6411764705882352,3.772727272727273,3.5793650793650795,3.901315789473684,4.205128205128205,4.011627906976744,4.333333333333333,4.872340425531915,4.282051282051282
46346,3.8245770258236864,3.865008880994672,3.861552028218695,3.7529711375212234,3.5372340425531914,3.552254098360656,3.568273092369478,3.44639175257732,3.435374149659864,3.449,3.5376647834274952,3.795627376425856,3.7861163227016887,3.975330396475771
46347,4.542126670540384,4.564858490566038,4.600346520358071,4.618599175985874,4.5520451339915375,4.513194062671798,4.532422293676313,4.491114701130856,4.543273119439202,4.410016068559186,4.464792652379627,4.52728776185226,4.542857142857143,4.550687062483796
46348,3.943324937027708,4.016568047337279,4.028801843317972,3.984472049689441,3.915704387990762,3.841287458379578,3.7799564270152506,3.710583153347732,3.6538922155688622,3.657894736842105,3.892972972972973,4.122685185185185,4.307604994324631,4.296691568836713
46349,4.3546944858420265,4.338033685859773,4.462647928994083,4.368552412645591,4.174031007751938,4.003369839932603,3.9766787293928423,4.025728987993139,4.0301707026597855,4.097145291861952,4.074977416440831,4.376259307928165,4.561390253116736,4.56235527621568
46350,4.026490066225166,4.022743466241058,3.9413113250802394,3.920312902948509,3.8780305856023873,3.834988821914707,3.838549258338335,3.918093946074275,3.960425840254167,3.956495250754618,4.110904233789363,4.259024218262685,4.347857897731892,4.345332752423484
46356,4.469329073482428,4.440306946688207,4.431764224314367,4.383963546246703,4.412608591695226,4.437765259665098,4.434052213393871,4.472940103374886,4.50386001029336,4.550933097292911,4.5628014258754455,4.688401253918495,4.666318537859008,4.639889552430489
46360,3.900470949017031,3.871165477033728,3.829560657141328,3.797066940851778,3.724018475750577,3.717649332008391,3.792800265428003,3.795048791306277,3.838279581667853,3.764146205357143,3.8414651078837023,3.920168181201682,4.027719057182116,4.128988728369582
46365,3.848851269649335,4.133333333333334,4.364520048602673,4.197287299630086,4.079676674364896,3.8636995827538247,4.201591511936339,3.872366790582404,4.018813314037627,3.759259259259259,4.057692307692308,3.7015625,3.854026845637584,3.6164179104477614
46366,3.78121546961326,3.647598253275109,3.6389075442131182,3.558568570793509,3.433333333333333,3.3507828931993457,3.359151682803135,3.360556428090644,3.3779271968467426,3.251487414187643,3.440769411212761,3.8151320485367592,3.908034849951597,3.791157102539981
46368,4.264136734226122,4.2781661518452285,4.318747304515145,4.309121289561627,4.324951324951325,4.3183639452511455,4.386972808887166,4.424895710600898,4.46678398592169,4.4111290322580645,4.476155863856145,4.494975255791359,4.587840898794963,4.628128473995734
46371,3.893641180923543,3.788667687595712,3.859334081556304,4.154323239693542,4.104288164665523,4.064737793851718,4.201208003020008,4.196840307429548,3.997594226142743,4.202785743547726,4.238113795791114,4.407948094079481,4.389377647442164,4.4561276287164615
46373,4.5329272934906735,4.555649877381626,4.476262716401927,4.438602681721948,4.470845106601592,4.503840510917407,4.517310587054691,4.510353535353535,4.528433809819764,4.273285784902196,4.4537874505370265,4.387940691927512,4.431810902568701,4.410829018776122
46374,3.891089108910891,3.788124156545209,3.512328767123288,3.8535620052770447,3.602189781021898,3.849226804123712,3.945480631276901,4.417236662106703,4.380794701986755,4.462365591397849,3.944244604316547,4.070133010882708,3.6304062909567496,4.17152466367713
46375,4.40061556791104,4.414151822955002,4.4619743965997065,4.4829107505071,4.39475947190045,4.407609535087268,4.393559476265103,4.380954739031395,4.36050204143354,4.459665919739255,4.53999606918239,4.58770694761373,4.634963004589304,4.648673988748995
46376,4.03125,3.891228070175439,3.8767123287671232,3.956834532374101,4.153846153846154,3.975806451612903,3.9174311926605503,3.742105263157895,3.78125,3.753968253968254,4.021739130434782,4.416107382550336,4.577586206896552,4.562068965517241
