GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,U2TE001,NAME_M,U2TM001
"G81242","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81242",,,,,,,"86000US81242",,"ZCTA5 81242",964,"ZCTA5 81242",222
"G81243","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81243",,,,,,,"86000US81243",,"ZCTA5 81243",375,"ZCTA5 81243",449
"G81244","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81244",,,,,,,"86000US81244",,"ZCTA5 81244",675,"ZCTA5 81244",446
"G81248","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81248",,,,,,,"86000US81248",,"ZCTA5 81248",452,"ZCTA5 81248",449
"G81251","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81251",,,,,,,"86000US81251",,"ZCTA5 81251",1438,"ZCTA5 81251",845
"G81252","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81252",,,,,,,"86000US81252",,"ZCTA5 81252",661,"ZCTA5 81252",76
"G81253","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81253",,,,,,,"86000US81253",,"ZCTA5 81253",574,"ZCTA5 81253",165
"G81301","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81301",,,,,,,"86000US81301",,"ZCTA5 81301",1143,"ZCTA5 81301",66
"G81303","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81303",,,,,,,"86000US81303",,"ZCTA5 81303",1064,"ZCTA5 81303",86
"G81320","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81320",,,,,,,"86000US81320",,"ZCTA5 81320",355,"ZCTA5 81320",99
"G81321","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81321",,,,,,,"86000US81321",,"ZCTA5 81321",691,"ZCTA5 81321",65
"G81323","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81323",,,,,,,"86000US81323",,"ZCTA5 81323",828,"ZCTA5 81323",104
"G81324","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81324",,,,,,,"86000US81324",,"ZCTA5 81324",506,"ZCTA5 81324",69
"G81325","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81325",,,,,,,"86000US81325",,"ZCTA5 81325",625,"ZCTA5 81325",233
"G81326","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81326",,,,,,,"86000US81326",,"ZCTA5 81326",1072,"ZCTA5 81326",166
"G81327","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81327",,,,,,,"86000US81327",,"ZCTA5 81327",562,"ZCTA5 81327",370
"G81328","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81328",,,,,,,"86000US81328",,"ZCTA5 81328",910,"ZCTA5 81328",134
"G81330","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81330",,,,,,,"86000US81330",,"ZCTA5 81330",.,"ZCTA5 81330",.
"G81331","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81331",,,,,,,"86000US81331",,"ZCTA5 81331",379,"ZCTA5 81331",204
"G81332","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81332",,,,,,,"86000US81332",,"ZCTA5 81332",858,"ZCTA5 81332",520
"G81334","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81334",,,,,,,"86000US81334",,"ZCTA5 81334",300,"ZCTA5 81334",56
"G81335","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81335",,,,,,,"86000US81335",,"ZCTA5 81335",399,"ZCTA5 81335",689
"G81401","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81401",,,,,,,"86000US81401",,"ZCTA5 81401",916,"ZCTA5 81401",63
"G81403","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81403",,,,,,,"86000US81403",,"ZCTA5 81403",964,"ZCTA5 81403",106
"G81410","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81410",,,,,,,"86000US81410",,"ZCTA5 81410",789,"ZCTA5 81410",308
"G81411","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81411",,,,,,,"86000US81411",,"ZCTA5 81411",.,"ZCTA5 81411",.
"G81413","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81413",,,,,,,"86000US81413",,"ZCTA5 81413",664,"ZCTA5 81413",85
"G81415","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81415",,,,,,,"86000US81415",,"ZCTA5 81415",653,"ZCTA5 81415",125
"G81416","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81416",,,,,,,"86000US81416",,"ZCTA5 81416",799,"ZCTA5 81416",63
"G81418","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81418",,,,,,,"86000US81418",,"ZCTA5 81418",848,"ZCTA5 81418",224
"G81419","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81419",,,,,,,"86000US81419",,"ZCTA5 81419",825,"ZCTA5 81419",91
"G81422","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81422",,,,,,,"86000US81422",,"ZCTA5 81422",581,"ZCTA5 81422",123
"G81423","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81423",,,,,,,"86000US81423",,"ZCTA5 81423",799,"ZCTA5 81423",165
"G81424","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81424",,,,,,,"86000US81424",,"ZCTA5 81424",734,"ZCTA5 81424",98
