GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,NAEE001,NAME_M,NAEM001
"G89161","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89161",,,,,,,"86000US89161",,"ZCTA5 89161",.,"ZCTA5 89161",.
"G89166","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89166",,,,,,,"86000US89166",,"ZCTA5 89166",1546,"ZCTA5 89166",140
"G89169","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89169",,,,,,,"86000US89169",,"ZCTA5 89169",821,"ZCTA5 89169",27
"G89178","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89178",,,,,,,"86000US89178",,"ZCTA5 89178",2099,"ZCTA5 89178",92
"G89179","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89179",,,,,,,"86000US89179",,"ZCTA5 89179",1750,"ZCTA5 89179",173
"G89183","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89183",,,,,,,"86000US89183",,"ZCTA5 89183",1481,"ZCTA5 89183",46
"G89191","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89191",,,,,,,"86000US89191",,"ZCTA5 89191",.,"ZCTA5 89191",.
"G89301","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89301",,,,,,,"86000US89301",,"ZCTA5 89301",740,"ZCTA5 89301",54
"G89310","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89310",,,,,,,"86000US89310",,"ZCTA5 89310",469,"ZCTA5 89310",50
"G89311","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89311",,,,,,,"86000US89311",,"ZCTA5 89311",818,"ZCTA5 89311",283
"G89314","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89314",,,,,,,"86000US89314",,"ZCTA5 89314",433,"ZCTA5 89314",432
"G89316","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89316",,,,,,,"86000US89316",,"ZCTA5 89316",471,"ZCTA5 89316",184
"G89317","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89317",,,,,,,"86000US89317",,"ZCTA5 89317",344,"ZCTA5 89317",203
"G89318","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89318",,,,,,,"86000US89318",,"ZCTA5 89318",451,"ZCTA5 89318",136
"G89319","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89319",,,,,,,"86000US89319",,"ZCTA5 89319",666,"ZCTA5 89319",248
"G89402","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89402",,,,,,,"86000US89402",,"ZCTA5 89402",.,"ZCTA5 89402",.
"G89403","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89403",,,,,,,"86000US89403",,"ZCTA5 89403",1130,"ZCTA5 89403",118
"G89404","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89404",,,,,,,"86000US89404",,"ZCTA5 89404",.,"ZCTA5 89404",.
"G89405","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89405",,,,,,,"86000US89405",,"ZCTA5 89405",398,"ZCTA5 89405",1593
"G89406","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89406",,,,,,,"86000US89406",,"ZCTA5 89406",903,"ZCTA5 89406",42
"G89408","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89408",,,,,,,"86000US89408",,"ZCTA5 89408",1129,"ZCTA5 89408",51
"G89409","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89409",,,,,,,"86000US89409",,"ZCTA5 89409",327,"ZCTA5 89409",55
"G89410","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89410",,,,,,,"86000US89410",,"ZCTA5 89410",1039,"ZCTA5 89410",114
"G89411","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89411",,,,,,,"86000US89411",,"ZCTA5 89411",702,"ZCTA5 89411",810
"G89412","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89412",,,,,,,"86000US89412",,"ZCTA5 89412",682,"ZCTA5 89412",16
"G89413","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89413",,,,,,,"86000US89413",,"ZCTA5 89413",2069,"ZCTA5 89413",766
"G89414","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89414",,,,,,,"86000US89414",,"ZCTA5 89414",749,"ZCTA5 89414",84
"G89415","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89415",,,,,,,"86000US89415",,"ZCTA5 89415",618,"ZCTA5 89415",73
"G89418","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89418",,,,,,,"86000US89418",,"ZCTA5 89418",821,"ZCTA5 89418",957
"G89419","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89419",,,,,,,"86000US89419",,"ZCTA5 89419",645,"ZCTA5 89419",81
"G89420","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89420",,,,,,,"86000US89420",,"ZCTA5 89420",360,"ZCTA5 89420",284
"G89421","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89421",,,,,,,"86000US89421",,"ZCTA5 89421",244,"ZCTA5 89421",99
"G89422","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89422",,,,,,,"86000US89422",,"ZCTA5 89422",292,"ZCTA5 89422",85
"G89423","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89423",,,,,,,"86000US89423",,"ZCTA5 89423",1403,"ZCTA5 89423",114
"G89424","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89424",,,,,,,"86000US89424",,"ZCTA5 89424",362,"ZCTA5 89424",302
"G89425","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89425",,,,,,,"86000US89425",,"ZCTA5 89425",455,"ZCTA5 89425",321
"G89426","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89426",,,,,,,"86000US89426",,"ZCTA5 89426",1032,"ZCTA5 89426",1097
"G89427","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89427",,,,,,,"86000US89427",,"ZCTA5 89427",332,"ZCTA5 89427",98
"G89428","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89428",,,,,,,"86000US89428",,"ZCTA5 89428",317,"ZCTA5 89428",103
"G89429","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89429",,,,,,,"86000US89429",,"ZCTA5 89429",817,"ZCTA5 89429",176
"G89430","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89430",,,,,,,"86000US89430",,"ZCTA5 89430",1158,"ZCTA5 89430",955
