GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABY2E001,NAME_M,ABY2M001
"G98922","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98922",,,,,,,"86000US98922",,"ZCTA5 98922",902,"ZCTA5 98922",115
"G98923","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98923",,,,,,,"86000US98923",,"ZCTA5 98923",630,"ZCTA5 98923",81
"G98925","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98925",,,,,,,"86000US98925",,"ZCTA5 98925",986,"ZCTA5 98925",261
"G98926","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98926",,,,,,,"86000US98926",,"ZCTA5 98926",889,"ZCTA5 98926",41
"G98929","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98929",,,,,,,"86000US98929",,"ZCTA5 98929",.,"ZCTA5 98929",.
"G98930","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98930",,,,,,,"86000US98930",,"ZCTA5 98930",847,"ZCTA5 98930",81
"G98932","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98932",,,,,,,"86000US98932",,"ZCTA5 98932",794,"ZCTA5 98932",66
"G98933","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98933",,,,,,,"86000US98933",,"ZCTA5 98933",788,"ZCTA5 98933",143
"G98934","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98934",,,,,,,"86000US98934",,"ZCTA5 98934",991,"ZCTA5 98934",179
"G98935","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98935",,,,,,,"86000US98935",,"ZCTA5 98935",758,"ZCTA5 98935",121
"G98936","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98936",,,,,,,"86000US98936",,"ZCTA5 98936",1180,"ZCTA5 98936",95
"G98937","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98937",,,,,,,"86000US98937",,"ZCTA5 98937",909,"ZCTA5 98937",150
"G98938","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98938",,,,,,,"86000US98938",,"ZCTA5 98938",957,"ZCTA5 98938",357
"G98939","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98939",,,,,,,"86000US98939",,"ZCTA5 98939",.,"ZCTA5 98939",.
