GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G62006","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62006",,,,,,,"86000US62006",,"ZCTA5 62006",690,"ZCTA5 62006",241
"G62009","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62009",,,,,,,"86000US62009",,"ZCTA5 62009",596,"ZCTA5 62009",73
"G62010","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62010",,,,,,,"86000US62010",,"ZCTA5 62010",913,"ZCTA5 62010",69
"G62011","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62011",,,,,,,"86000US62011",,"ZCTA5 62011",531,"ZCTA5 62011",120
"G62012","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62012",,,,,,,"86000US62012",,"ZCTA5 62012",944,"ZCTA5 62012",64
"G62013","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62013",,,,,,,"86000US62013",,"ZCTA5 62013",618,"ZCTA5 62013",160
"G62014","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62014",,,,,,,"86000US62014",,"ZCTA5 62014",789,"ZCTA5 62014",45
"G62015","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62015",,,,,,,"86000US62015",,"ZCTA5 62015",622,"ZCTA5 62015",17
"G62016","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62016",,,,,,,"86000US62016",,"ZCTA5 62016",687,"ZCTA5 62016",42
"G62017","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62017",,,,,,,"86000US62017",,"ZCTA5 62017",610,"ZCTA5 62017",44
"G62018","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62018",,,,,,,"86000US62018",,"ZCTA5 62018",687,"ZCTA5 62018",74
"G62019","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62019",,,,,,,"86000US62019",,"ZCTA5 62019",691,"ZCTA5 62019",111
"G62021","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62021",,,,,,,"86000US62021",,"ZCTA5 62021",793,"ZCTA5 62021",138
"G62022","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62022",,,,,,,"86000US62022",,"ZCTA5 62022",712,"ZCTA5 62022",284
"G62023","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62023",,,,,,,"86000US62023",,"ZCTA5 62023",1014,"ZCTA5 62023",154
"G62024","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62024",,,,,,,"86000US62024",,"ZCTA5 62024",804,"ZCTA5 62024",73
"G62025","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62025",,,,,,,"86000US62025",,"ZCTA5 62025",1129,"ZCTA5 62025",40
"G62027","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62027",,,,,,,"86000US62027",,"ZCTA5 62027",713,"ZCTA5 62027",124
"G62028","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62028",,,,,,,"86000US62028",,"ZCTA5 62028",845,"ZCTA5 62028",87
"G62030","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62030",,,,,,,"86000US62030",,"ZCTA5 62030",588,"ZCTA5 62030",369
"G62031","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62031",,,,,,,"86000US62031",,"ZCTA5 62031",675,"ZCTA5 62031",183
"G62032","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62032",,,,,,,"86000US62032",,"ZCTA5 62032",543,"ZCTA5 62032",207
"G62033","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62033",,,,,,,"86000US62033",,"ZCTA5 62033",650,"ZCTA5 62033",61
"G62034","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62034",,,,,,,"86000US62034",,"ZCTA5 62034",1135,"ZCTA5 62034",83
"G62035","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62035",,,,,,,"86000US62035",,"ZCTA5 62035",917,"ZCTA5 62035",41
"G62036","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62036",,,,,,,"86000US62036",,"ZCTA5 62036",680,"ZCTA5 62036",65
"G62037","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62037",,,,,,,"86000US62037",,"ZCTA5 62037",877,"ZCTA5 62037",123
"G62040","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62040",,,,,,,"86000US62040",,"ZCTA5 62040",738,"ZCTA5 62040",22
"G62044","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62044",,,,,,,"86000US62044",,"ZCTA5 62044",582,"ZCTA5 62044",73
"G62045","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62045",,,,,,,"86000US62045",,"ZCTA5 62045",769,"ZCTA5 62045",362
"G62046","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62046",,,,,,,"86000US62046",,"ZCTA5 62046",1047,"ZCTA5 62046",166
"G62047","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62047",,,,,,,"86000US62047",,"ZCTA5 62047",671,"ZCTA5 62047",64
"G62048","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62048",,,,,,,"86000US62048",,"ZCTA5 62048",687,"ZCTA5 62048",49
"G62049","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62049",,,,,,,"86000US62049",,"ZCTA5 62049",633,"ZCTA5 62049",56
"G62050","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62050",,,,,,,"86000US62050",,"ZCTA5 62050",415,"ZCTA5 62050",219
"G62051","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62051",,,,,,,"86000US62051",,"ZCTA5 62051",675,"ZCTA5 62051",149
