GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AKLKE001,NAME_M,AKLKM001
"G72544","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72544",,,,,,,"86000US72544",,"ZCTA5 72544",553,"ZCTA5 72544",299
"G72546","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72546",,,,,,,"86000US72546",,"ZCTA5 72546",.,"ZCTA5 72546",.
"G72550","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72550",,,,,,,"86000US72550",,"ZCTA5 72550",368,"ZCTA5 72550",167
"G72553","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72553",,,,,,,"86000US72553",,"ZCTA5 72553",388,"ZCTA5 72553",381
"G72554","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72554",,,,,,,"86000US72554",,"ZCTA5 72554",453,"ZCTA5 72554",72
"G72555","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72555",,,,,,,"86000US72555",,"ZCTA5 72555",559,"ZCTA5 72555",332
"G72556","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72556",,,,,,,"86000US72556",,"ZCTA5 72556",579,"ZCTA5 72556",66
"G72560","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72560",,,,,,,"86000US72560",,"ZCTA5 72560",504,"ZCTA5 72560",66
"G72561","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72561",,,,,,,"86000US72561",,"ZCTA5 72561",500,"ZCTA5 72561",148
"G72562","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72562",,,,,,,"86000US72562",,"ZCTA5 72562",630,"ZCTA5 72562",95
"G72564","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72564",,,,,,,"86000US72564",,"ZCTA5 72564",420,"ZCTA5 72564",180
"G72565","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72565",,,,,,,"86000US72565",,"ZCTA5 72565",564,"ZCTA5 72565",118
"G72566","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72566",,,,,,,"86000US72566",,"ZCTA5 72566",387,"ZCTA5 72566",141
"G72567","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72567",,,,,,,"86000US72567",,"ZCTA5 72567",425,"ZCTA5 72567",129
"G72568","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72568",,,,,,,"86000US72568",,"ZCTA5 72568",613,"ZCTA5 72568",222
"G72569","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72569",,,,,,,"86000US72569",,"ZCTA5 72569",628,"ZCTA5 72569",114
"G72571","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72571",,,,,,,"86000US72571",,"ZCTA5 72571",617,"ZCTA5 72571",319
"G72572","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72572",,,,,,,"86000US72572",,"ZCTA5 72572",.,"ZCTA5 72572",.
"G72573","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72573",,,,,,,"86000US72573",,"ZCTA5 72573",628,"ZCTA5 72573",357
"G72576","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72576",,,,,,,"86000US72576",,"ZCTA5 72576",472,"ZCTA5 72576",45
"G72577","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72577",,,,,,,"86000US72577",,"ZCTA5 72577",383,"ZCTA5 72577",202
"G72578","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72578",,,,,,,"86000US72578",,"ZCTA5 72578",.,"ZCTA5 72578",.
"G72579","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72579",,,,,,,"86000US72579",,"ZCTA5 72579",675,"ZCTA5 72579",43
"G72581","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72581",,,,,,,"86000US72581",,"ZCTA5 72581",831,"ZCTA5 72581",141
"G72583","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72583",,,,,,,"86000US72583",,"ZCTA5 72583",676,"ZCTA5 72583",90
"G72584","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72584",,,,,,,"86000US72584",,"ZCTA5 72584",289,"ZCTA5 72584",206
"G72585","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72585",,,,,,,"86000US72585",,"ZCTA5 72585",488,"ZCTA5 72585",193
"G72587","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72587",,,,,,,"86000US72587",,"ZCTA5 72587",770,"ZCTA5 72587",201
"G72601","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72601",,,,,,,"86000US72601",,"ZCTA5 72601",636,"ZCTA5 72601",30
"G72611","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72611",,,,,,,"86000US72611",,"ZCTA5 72611",534,"ZCTA5 72611",118
"G72616","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72616",,,,,,,"86000US72616",,"ZCTA5 72616",621,"ZCTA5 72616",74
"G72617","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72617",,,,,,,"86000US72617",,"ZCTA5 72617",.,"ZCTA5 72617",.
"G72619","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72619",,,,,,,"86000US72619",,"ZCTA5 72619",492,"ZCTA5 72619",48
"G72623","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"72623",,,,,,,"86000US72623",,"ZCTA5 72623",515,"ZCTA5 72623",169
