GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AMJBE001,NAME_M,AMJBM001
"G49655","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49655",,,,,,,"86000US49655",,"ZCTA5 49655",703,"ZCTA5 49655",45
"G49656","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49656",,,,,,,"86000US49656",,"ZCTA5 49656",592,"ZCTA5 49656",43
"G49657","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49657",,,,,,,"86000US49657",,"ZCTA5 49657",796,"ZCTA5 49657",41
"G49659","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49659",,,,,,,"86000US49659",,"ZCTA5 49659",714,"ZCTA5 49659",33
"G49660","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49660",,,,,,,"86000US49660",,"ZCTA5 49660",723,"ZCTA5 49660",26
"G49663","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49663",,,,,,,"86000US49663",,"ZCTA5 49663",762,"ZCTA5 49663",51
"G49664","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49664",,,,,,,"86000US49664",,"ZCTA5 49664",944,"ZCTA5 49664",156
"G49665","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49665",,,,,,,"86000US49665",,"ZCTA5 49665",619,"ZCTA5 49665",35
"G49666","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49666",,,,,,,"86000US49666",,"ZCTA5 49666",.,"ZCTA5 49666",.
"G49667","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49667",,,,,,,"86000US49667",,"ZCTA5 49667",598,"ZCTA5 49667",47
"G49668","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49668",,,,,,,"86000US49668",,"ZCTA5 49668",765,"ZCTA5 49668",60
"G49670","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49670",,,,,,,"86000US49670",,"ZCTA5 49670",919,"ZCTA5 49670",101
"G49674","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49674",,,,,,,"86000US49674",,"ZCTA5 49674",.,"ZCTA5 49674",.
"G49675","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49675",,,,,,,"86000US49675",,"ZCTA5 49675",882,"ZCTA5 49675",227
"G49676","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49676",,,,,,,"86000US49676",,"ZCTA5 49676",856,"ZCTA5 49676",64
"G49677","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49677",,,,,,,"86000US49677",,"ZCTA5 49677",607,"ZCTA5 49677",26
