GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AD8XE001,NAME_M,AD8XM001
"G89002","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89002",,,,,,,"86000US89002",,"ZCTA5 89002",1382,"ZCTA5 89002",38
"G89003","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89003",,,,,,,"86000US89003",,"ZCTA5 89003",623,"ZCTA5 89003",78
"G89004","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89004",,,,,,,"86000US89004",,"ZCTA5 89004",743,"ZCTA5 89004",677
"G89005","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89005",,,,,,,"86000US89005",,"ZCTA5 89005",821,"ZCTA5 89005",57
"G89007","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89007",,,,,,,"86000US89007",,"ZCTA5 89007",1048,"ZCTA5 89007",313
"G89008","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89008",,,,,,,"86000US89008",,"ZCTA5 89008",710,"ZCTA5 89008",127
"G89010","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89010",,,,,,,"86000US89010",,"ZCTA5 89010",468,"ZCTA5 89010",71
"G89011","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89011",,,,,,,"86000US89011",,"ZCTA5 89011",1112,"ZCTA5 89011",43
"G89012","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89012",,,,,,,"86000US89012",,"ZCTA5 89012",1259,"ZCTA5 89012",50
"G89013","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89013",,,,,,,"86000US89013",,"ZCTA5 89013",475,"ZCTA5 89013",135
"G89014","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89014",,,,,,,"86000US89014",,"ZCTA5 89014",1034,"ZCTA5 89014",29
"G89015","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89015",,,,,,,"86000US89015",,"ZCTA5 89015",1022,"ZCTA5 89015",40
"G89017","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89017",,,,,,,"86000US89017",,"ZCTA5 89017",525,"ZCTA5 89017",89
"G89018","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89018",,,,,,,"86000US89018",,"ZCTA5 89018",820,"ZCTA5 89018",213
"G89019","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89019",,,,,,,"86000US89019",,"ZCTA5 89019",752,"ZCTA5 89019",388
"G89020","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89020",,,,,,,"86000US89020",,"ZCTA5 89020",412,"ZCTA5 89020",76
"G89021","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89021",,,,,,,"86000US89021",,"ZCTA5 89021",1164,"ZCTA5 89021",130
"G89022","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89022",,,,,,,"86000US89022",,"ZCTA5 89022",466,"ZCTA5 89022",23
"G89025","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89025",,,,,,,"86000US89025",,"ZCTA5 89025",887,"ZCTA5 89025",180
"G89026","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89026",,,,,,,"86000US89026",,"ZCTA5 89026",.,"ZCTA5 89026",.
"G89027","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89027",,,,,,,"86000US89027",,"ZCTA5 89027",817,"ZCTA5 89027",32
"G89029","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89029",,,,,,,"86000US89029",,"ZCTA5 89029",677,"ZCTA5 89029",41
"G89030","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89030",,,,,,,"86000US89030",,"ZCTA5 89030",764,"ZCTA5 89030",16
"G89031","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89031",,,,,,,"86000US89031",,"ZCTA5 89031",1296,"ZCTA5 89031",25
"G89032","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89032",,,,,,,"86000US89032",,"ZCTA5 89032",1136,"ZCTA5 89032",29
"G89039","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89039",,,,,,,"86000US89039",,"ZCTA5 89039",308,"ZCTA5 89039",157
"G89040","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89040",,,,,,,"86000US89040",,"ZCTA5 89040",880,"ZCTA5 89040",163
"G89042","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89042",,,,,,,"86000US89042",,"ZCTA5 89042",662,"ZCTA5 89042",99
"G89043","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89043",,,,,,,"86000US89043",,"ZCTA5 89043",836,"ZCTA5 89043",332
"G89044","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89044",,,,,,,"86000US89044",,"ZCTA5 89044",1467,"ZCTA5 89044",75
"G89045","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89045",,,,,,,"86000US89045",,"ZCTA5 89045",705,"ZCTA5 89045",232
"G89046","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89046",,,,,,,"86000US89046",,"ZCTA5 89046",476,"ZCTA5 89046",120
"G89047","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89047",,,,,,,"86000US89047",,"ZCTA5 89047",425,"ZCTA5 89047",34
"G89048","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89048",,,,,,,"86000US89048",,"ZCTA5 89048",768,"ZCTA5 89048",38
"G89049","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89049",,,,,,,"86000US89049",,"ZCTA5 89049",508,"ZCTA5 89049",70
"G89052","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89052",,,,,,,"86000US89052",,"ZCTA5 89052",1500,"ZCTA5 89052",52
"G89054","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89054",,,,,,,"86000US89054",,"ZCTA5 89054",427,"ZCTA5 89054",69
"G89060","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89060",,,,,,,"86000US89060",,"ZCTA5 89060",760,"ZCTA5 89060",115
"G89061","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89061",,,,,,,"86000US89061",,"ZCTA5 89061",938,"ZCTA5 89061",75
"G89074","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89074",,,,,,,"86000US89074",,"ZCTA5 89074",1286,"ZCTA5 89074",30
"G89081","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89081",,,,,,,"86000US89081",,"ZCTA5 89081",1249,"ZCTA5 89081",40
"G89084","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89084",,,,,,,"86000US89084",,"ZCTA5 89084",1323,"ZCTA5 89084",60
"G89085","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89085",,,,,,,"86000US89085",,"ZCTA5 89085",1682,"ZCTA5 89085",90
"G89086","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89086",,,,,,,"86000US89086",,"ZCTA5 89086",1120,"ZCTA5 89086",58
"G89101","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89101",,,,,,,"86000US89101",,"ZCTA5 89101",670,"ZCTA5 89101",14
"G89102","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89102",,,,,,,"86000US89102",,"ZCTA5 89102",796,"ZCTA5 89102",19
"G89103","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89103",,,,,,,"86000US89103",,"ZCTA5 89103",857,"ZCTA5 89103",12
"G89104","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89104",,,,,,,"86000US89104",,"ZCTA5 89104",807,"ZCTA5 89104",20
"G89106","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89106",,,,,,,"86000US89106",,"ZCTA5 89106",819,"ZCTA5 89106",22
"G89107","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89107",,,,,,,"86000US89107",,"ZCTA5 89107",901,"ZCTA5 89107",36
"G89108","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89108",,,,,,,"86000US89108",,"ZCTA5 89108",969,"ZCTA5 89108",20
"G89109","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89109",,,,,,,"86000US89109",,"ZCTA5 89109",936,"ZCTA5 89109",92
"G89110","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89110",,,,,,,"86000US89110",,"ZCTA5 89110",942,"ZCTA5 89110",20
"G89113","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89113",,,,,,,"86000US89113",,"ZCTA5 89113",1186,"ZCTA5 89113",49
"G89115","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89115",,,,,,,"86000US89115",,"ZCTA5 89115",851,"ZCTA5 89115",16
"G89117","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89117",,,,,,,"86000US89117",,"ZCTA5 89117",1117,"ZCTA5 89117",22
"G89118","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89118",,,,,,,"86000US89118",,"ZCTA5 89118",983,"ZCTA5 89118",22
"G89119","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89119",,,,,,,"86000US89119",,"ZCTA5 89119",796,"ZCTA5 89119",14
"G89120","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89120",,,,,,,"86000US89120",,"ZCTA5 89120",986,"ZCTA5 89120",25
"G89121","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89121",,,,,,,"86000US89121",,"ZCTA5 89121",862,"ZCTA5 89121",16
"G89122","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89122",,,,,,,"86000US89122",,"ZCTA5 89122",934,"ZCTA5 89122",29
"G89123","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89123",,,,,,,"86000US89123",,"ZCTA5 89123",1173,"ZCTA5 89123",30
