GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G74056","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74056",,,,,,,"86000US74056",,"ZCTA5 74056",454,"ZCTA5 74056",35
"G74058","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74058",,,,,,,"86000US74058",,"ZCTA5 74058",492,"ZCTA5 74058",59
"G74059","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74059",,,,,,,"86000US74059",,"ZCTA5 74059",600,"ZCTA5 74059",54
"G74060","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74060",,,,,,,"86000US74060",,"ZCTA5 74060",581,"ZCTA5 74060",234
"G74061","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74061",,,,,,,"86000US74061",,"ZCTA5 74061",617,"ZCTA5 74061",67
"G74062","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74062",,,,,,,"86000US74062",,"ZCTA5 74062",605,"ZCTA5 74062",64
"G74063","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74063",,,,,,,"86000US74063",,"ZCTA5 74063",848,"ZCTA5 74063",31
"G74066","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74066",,,,,,,"86000US74066",,"ZCTA5 74066",770,"ZCTA5 74066",37
"G74068","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74068",,,,,,,"86000US74068",,"ZCTA5 74068",300,"ZCTA5 74068",110
"G74070","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74070",,,,,,,"86000US74070",,"ZCTA5 74070",774,"ZCTA5 74070",34
"G74071","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74071",,,,,,,"86000US74071",,"ZCTA5 74071",465,"ZCTA5 74071",246
"G74072","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74072",,,,,,,"86000US74072",,"ZCTA5 74072",610,"ZCTA5 74072",77
"G74073","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74073",,,,,,,"86000US74073",,"ZCTA5 74073",742,"ZCTA5 74073",109
"G74074","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74074",,,,,,,"86000US74074",,"ZCTA5 74074",758,"ZCTA5 74074",28
"G74075","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74075",,,,,,,"86000US74075",,"ZCTA5 74075",692,"ZCTA5 74075",38
"G74078","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74078",,,,,,,"86000US74078",,"ZCTA5 74078",.,"ZCTA5 74078",.
"G74079","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74079",,,,,,,"86000US74079",,"ZCTA5 74079",537,"ZCTA5 74079",77
"G74080","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74080",,,,,,,"86000US74080",,"ZCTA5 74080",745,"ZCTA5 74080",99
"G74081","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74081",,,,,,,"86000US74081",,"ZCTA5 74081",588,"ZCTA5 74081",75
"G74082","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74082",,,,,,,"86000US74082",,"ZCTA5 74082",563,"ZCTA5 74082",673
"G74083","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74083",,,,,,,"86000US74083",,"ZCTA5 74083",541,"ZCTA5 74083",120
"G74084","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74084",,,,,,,"86000US74084",,"ZCTA5 74084",502,"ZCTA5 74084",176
"G74085","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74085",,,,,,,"86000US74085",,"ZCTA5 74085",508,"ZCTA5 74085",65
"G74103","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74103",,,,,,,"86000US74103",,"ZCTA5 74103",1400,"ZCTA5 74103",167
"G74104","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74104",,,,,,,"86000US74104",,"ZCTA5 74104",832,"ZCTA5 74104",36
"G74105","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74105",,,,,,,"86000US74105",,"ZCTA5 74105",816,"ZCTA5 74105",30
"G74106","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74106",,,,,,,"86000US74106",,"ZCTA5 74106",514,"ZCTA5 74106",52
"G74107","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74107",,,,,,,"86000US74107",,"ZCTA5 74107",708,"ZCTA5 74107",22
"G74108","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74108",,,,,,,"86000US74108",,"ZCTA5 74108",785,"ZCTA5 74108",38
"G74110","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74110",,,,,,,"86000US74110",,"ZCTA5 74110",669,"ZCTA5 74110",24
"G74112","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74112",,,,,,,"86000US74112",,"ZCTA5 74112",773,"ZCTA5 74112",32
