GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ANDYE001,NAME_M,ANDYM001
"G36751","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36751",,,,,,,"86000US36751",,"ZCTA 36751",478,"ZCTA 36751",104
"G36752","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36752",,,,,,,"86000US36752",,"ZCTA 36752",656,"ZCTA 36752",172
"G36753","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36753",,,,,,,"86000US36753",,"ZCTA 36753",,"ZCTA 36753",
"G36754","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36754",,,,,,,"86000US36754",,"ZCTA 36754",,"ZCTA 36754",
"G36756","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36756",,,,,,,"86000US36756",,"ZCTA 36756",418,"ZCTA 36756",69
"G36758","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36758",,,,,,,"86000US36758",,"ZCTA 36758",514,"ZCTA 36758",186
"G36759","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36759",,,,,,,"86000US36759",,"ZCTA 36759",549,"ZCTA 36759",70
"G36761","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36761",,,,,,,"86000US36761",,"ZCTA 36761",509,"ZCTA 36761",92
"G36763","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36763",,,,,,,"86000US36763",,"ZCTA 36763",338,"ZCTA 36763",253
"G36765","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36765",,,,,,,"86000US36765",,"ZCTA 36765",389,"ZCTA 36765",100
"G36766","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36766",,,,,,,"86000US36766",,"ZCTA 36766",508,"ZCTA 36766",237
"G36767","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36767",,,,,,,"86000US36767",,"ZCTA 36767",504,"ZCTA 36767",129
"G36768","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36768",,,,,,,"86000US36768",,"ZCTA 36768",517,"ZCTA 36768",112
"G36769","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36769",,,,,,,"86000US36769",,"ZCTA 36769",528,"ZCTA 36769",44
"G36773","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36773",,,,,,,"86000US36773",,"ZCTA 36773",509,"ZCTA 36773",148
"G36775","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36775",,,,,,,"86000US36775",,"ZCTA 36775",775,"ZCTA 36775",462
"G36776","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36776",,,,,,,"86000US36776",,"ZCTA 36776",436,"ZCTA 36776",209
"G36782","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36782",,,,,,,"86000US36782",,"ZCTA 36782",457,"ZCTA 36782",123
"G36783","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36783",,,,,,,"86000US36783",,"ZCTA 36783",718,"ZCTA 36783",302
"G36784","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36784",,,,,,,"86000US36784",,"ZCTA 36784",570,"ZCTA 36784",73
"G36785","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36785",,,,,,,"86000US36785",,"ZCTA 36785",738,"ZCTA 36785",221
"G36786","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36786",,,,,,,"86000US36786",,"ZCTA 36786",328,"ZCTA 36786",68
"G36790","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36790",,,,,,,"86000US36790",,"ZCTA 36790",361,"ZCTA 36790",57
"G36792","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36792",,,,,,,"86000US36792",,"ZCTA 36792",653,"ZCTA 36792",474
"G36793","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36793",,,,,,,"86000US36793",,"ZCTA 36793",,"ZCTA 36793",
"G36801","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36801",,,,,,,"86000US36801",,"ZCTA 36801",811,"ZCTA 36801",62
"G36804","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36804",,,,,,,"86000US36804",,"ZCTA 36804",752,"ZCTA 36804",60
"G36830","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36830",,,,,,,"86000US36830",,"ZCTA 36830",947,"ZCTA 36830",43
"G36832","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36832",,,,,,,"86000US36832",,"ZCTA 36832",843,"ZCTA 36832",50
"G36849","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36849",,,,,,,"86000US36849",,"ZCTA 36849",,"ZCTA 36849",
"G36850","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36850",,,,,,,"86000US36850",,"ZCTA 36850",436,"ZCTA 36850",68
"G36852","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36852",,,,,,,"86000US36852",,"ZCTA 36852",717,"ZCTA 36852",347
"G36853","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36853",,,,,,,"86000US36853",,"ZCTA 36853",700,"ZCTA 36853",47
"G36854","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36854",,,,,,,"86000US36854",,"ZCTA 36854",799,"ZCTA 36854",45
"G36855","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36855",,,,,,,"86000US36855",,"ZCTA 36855",697,"ZCTA 36855",194
"G36856","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36856",,,,,,,"86000US36856",,"ZCTA 36856",1295,"ZCTA 36856",163
"G36858","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36858",,,,,,,"86000US36858",,"ZCTA 36858",653,"ZCTA 36858",289
"G36859","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36859",,,,,,,"86000US36859",,"ZCTA 36859",,"ZCTA 36859",
"G36860","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36860",,,,,,,"86000US36860",,"ZCTA 36860",498,"ZCTA 36860",44
"G36861","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36861",,,,,,,"86000US36861",,"ZCTA 36861",628,"ZCTA 36861",52
"G36862","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36862",,,,,,,"86000US36862",,"ZCTA 36862",509,"ZCTA 36862",65
"G36863","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36863",,,,,,,"86000US36863",,"ZCTA 36863",558,"ZCTA 36863",43
"G36865","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36865",,,,,,,"86000US36865",,"ZCTA 36865",890,"ZCTA 36865",634
"G36866","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36866",,,,,,,"86000US36866",,"ZCTA 36866",570,"ZCTA 36866",137
"G36867","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36867",,,,,,,"86000US36867",,"ZCTA 36867",808,"ZCTA 36867",37
"G36869","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36869",,,,,,,"86000US36869",,"ZCTA 36869",778,"ZCTA 36869",71
"G36870","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36870",,,,,,,"86000US36870",,"ZCTA 36870",899,"ZCTA 36870",60
"G36871","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36871",,,,,,,"86000US36871",,"ZCTA 36871",573,"ZCTA 36871",312
"G36874","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36874",,,,,,,"86000US36874",,"ZCTA 36874",823,"ZCTA 36874",317
"G36875","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"36875",,,,,,,"86000US36875",,"ZCTA 36875",622,"ZCTA 36875",221
