scraped_city,facility,operator,street,zip_code,city_in_desc
Chicago,T5 Data Centers - T5@Grayslake Campus,T5 Data Centers,30907 N Alleghany Rd,60030,Grayslake
Chicago,Chirisa Volo Technology Park,Chirisa,300 South Fish Lake Rd,60073,Volo
Chicago,Stream DC Chicago III,Stream Data Centers,2000 Landmeier Rd,60007,Elk Grove Village
Chicago,T5 Data Centers - T5@Chicago lll,T5 Data Centers,11650 W Grand Ave,60164,Northlake
Chicago,T5 Data Centers - T5@Chicago V,T5 Data Centers,within,Elk Grove Village,TBA
Chicago,ColoHouse Chicago Cermak,ColoHouse,350 E Cermak,60616,Chicago
Chicago,CloudHQ ORD2,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,Aligned ORD-02,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
Chicago,ColoHouse Chicago Wells,ColoHouse,725 S Wells Street,60607,Chicago
Chicago,FDCservers.net,FDCservers.net LLC,141 West Jackson Blvd.,60604,Chicago
Chicago,HW Technology Park,Hillwood Development Company,Millsdale Rd / Schweitzer Rd,60421,Joliet
Chicago,Colovore ORD01,Colovore,within,"Aurora, 41 miles from Chicago",TBA
Chicago,Equinix CH5,Equinix,2001 Lunt Ave,60007,Elk Grove Village
Chicago,EdgeConneX Chicago - EDCCHI01,EdgeConneX,1800 Nicholas Blvd,60007,Elk Grove Village
Chicago,Chicago Exchange,Menlo Digital,601 W. Polk St,60605,Chicago
Chicago,CDC - Chicago CH5 Data Center,"NTT DATA, Inc.",1250 N Arlington Heights Rd,60143,Itasca
Chicago,LexisNexis Oak Brook,LexisNexis,1808 Swift Dr,60523,Oak Brook
Chicago,Edged Chicago ORD1,Edged Energy,2815 Bilter Rd,60502,Aurora
Chicago,8080 S DuSable Lake Shore Drive,Related Digital,8080 S DuSable Lake Shore Dr,60617,Chicago
Chicago,Connect Chicago,Connect Data Centers by Oppidan,245 Kehoe Blvd,60188,Carol Stream
Chicago,Edged Chicago ORD3,Edged Energy,2725 Bilter Rd,60502,Aurora
Chicago,Edged Chicago ORD2,Edged Energy,2835 Bilter Rd,60502,Aurora
Chicago,216 West Jackson Boulevard,"Baum Realty Group, LLC",216 W Jackson Blvd,60606,Chicago
Chicago,365 Data Centers - Chicago 2,365 Data Centers,350 East Cermak Road,60623,Chicago
Chicago,GDC - Chicago CH4 Data Center,"NTT DATA, Inc.",1200 N Arlington Heights Rd,60143,Itasca
Chicago,Edged Chicago Campus,Edged Energy,2725-2815 Bilter Rd,60502,Aurora
Chicago,Microsoft Elk Grove - Building 3,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Chicago,Microsoft Hoffman Estates - Building 4,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,Microsoft Plano (IL),Microsoft,Eldamain Rd & Corneils Rd,60545,Plano
Chicago,Microsoft Hoffman Estates - Building 3,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,KARIS Hoffman Estates,KARIS Critical,Higgins Rd & Illinois Rte 59,60010,Hoffman Estates
Chicago,Chicago Campus,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
Chicago,Microsoft Elk Grove - Building 2,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Chicago,NTT Chicago Campus,"NTT DATA, Inc.",255-275 Pierce Rd,60143,Itasca
Chicago,Meta DeKalb Campus,Meta,1550-2050 Metaverse Wy,60115,DeKalb
Chicago,KARIS DeKalb Campus,KARIS Critical,Gurler Rd & Peace Rd,60115,DeKalb
Chicago,WOWaccess Data Center,WOWaccess,184 Shuman Blvd,60563,Naperville
Chicago,Microsoft Elk Grove - Building 1,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Chicago,Lumen Chicago 3,Lumen,200 N LaSalle St,60601,Chicago
Chicago,Compass Hoffman Estates,Compass Datacenters,3333 Beverly Rd,60179,Hoffman Estates
Chicago,DLS Internet LITH,DLS Internet Services,950 E. Oak Street,60156,Lake in the Hills
Chicago,Axon Datacenter,Axon Datacenters,7093 Barry St,60018,Rosemont
Chicago,Lumen South Holland 1,Lumen,200 E 166th St,60473,South Holland
Chicago,CyrusOne CHI3 - Aurora Campus,CyrusOne Data Centers,2725 Bilter Rd,60502,Aurora
Chicago,CBTS Lombard Data Center I,CBTS,1850 W Springer,60148,Lombard
Chicago,Hostrunway Lombard,Hostrunway,1850 Springer Dr,60148,Lombard
Chicago,Volico Chicago,Volico Data Center,350 E Cermak Rd,60616,Chicago
Chicago,GigeNET Chicago,Gigenet,545 E. Algonquin Rd.,60005,Arlington Heights
Chicago,NetSource Naperville 2,"NetSource Communications, Inc.",1717 Park St.,60563,Naperville
Chicago,NaviSite Oak Brook,"NaviSite, Inc.",800 Jorie Blvd,60523,Oak Brook
Chicago,CyrusOne CHI3 - Building 1,CyrusOne Data Centers,2725 Bilter Rd,60502,Aurora
Chicago,427 LaSalle,CoreSite,427 South LaSalle Street,60605,Chicago
Chicago,CyrusOne CHI3 - Building 2,CyrusOne Data Centers,2725 Bilter Rd,60502,Aurora
Chicago,Sinch Data Center,Sinch,717 S Wells St,60607,Chicago
Chicago,Lumen 350 E Cermak,Lumen,350 E Cermark Road,60616,Chicago
Chicago,Lumen Chicago,Lumen,111 N Canal St,60606,Chicago
Chicago,Synoptek - Chicago Data Center,Synoptek,350 East Cermak Road,60616,Chicago
Chicago,360 East 22nd Street,360E 22nd LLC,360 East 22nd Street,60148,Lombard
Chicago,NaviSite Chicago,"NaviSite, Inc.",725 S Wells,60610,Chicago
Chicago,Meta DeKalb - Building 6,Meta,1550 Metaverse Wy,60115,DeKalb
Chicago,Lumen Broadview 1,Lumen,2101 Roberts Drive,60155,Broadview
Chicago,Meta DeKalb - Building 2,Meta,2050 Metaverse Wy,60115,DeKalb
