RegionID,SizeRank,ZipCode,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
84689,1593,60707,zip,IL,IL,Elmwood Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,138899.22902082352,157095.2167356394,176856.61481109983,194392.8361822475,215829.28838484548,243886.6523887401,264690.0664727123,265823.6292213522,247627.87823566215,202946.52305387377,175896.19644449602,159195.42414250443,144795.61977410124,155893.50052290616,181709.55608212925,191933.28209045358,209605.4464129414,223294.2120091566,239357.27658782367,244061.03433473525,250777.47997289733,280366.2902744145,297021.17885880143,299018.06416483555,315280.908254801,323059.34546681045
84649,1598,60652,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,101286.69831368397,110683.79826182725,119969.45136455099,130856.09649180058,144817.445701869,162722.71439724066,180227.01788821525,184181.71894590775,173026.4522521925,141306.49120275176,125091.67422295934,110832.20649183041,105485.19964156234,109916.94991070783,123066.70554112409,132507.065003764,145456.16883034125,157757.30951700333,169986.69527218674,175989.94794046285,187334.9260648523,216254.51724753933,233402.78221928515,228437.59042078807,242482.96508935242,253437.12508346242
84612,1636,60610,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,236294.9458493484,272818.2812246945,297114.8934235598,308807.7978499153,321124.4078822757,343405.9846614204,364341.5907658788,365215.6629163521,358742.4700016065,334794.3312383919,324260.9260852243,304044.92378784023,290352.90163472417,322621.7237163394,359747.95770055364,367948.5196989831,370837.27473398607,366145.89461410657,365591.5005473352,356808.05682300613,352301.9464092066,352664.3811023754,356587.32892607775,350462.6517611192,357911.2558656206,355553.6707355094
84617,1785,60615,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,134139.95091469315,148697.23530012366,165018.299890421,181344.49537370118,197958.6190795961,218194.39139247732,238116.6216788391,244982.4628719859,239182.479306525,210465.93603491492,199365.70336792598,171627.0209964509,146853.7492257431,148157.24372259533,166311.11866218617,170335.87370055635,178161.0823300745,192543.20074827192,208177.69853129002,211352.8281089233,220094.6748979626,236080.417580432,242095.6613777789,235042.5744587554,238027.32972181853,243727.45478993215
84324,2038,60068,zip,IL,IL,Park Ridge,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,295178.7415840075,322898.0448577996,352538.8607591137,379827.770607999,407918.2910178587,448733.8142012805,494900.83598808805,492352.0814269772,436883.0008231911,380985.20973110414,342672.7442681295,316543.9902372747,302774.4597543707,324945.7146766946,358833.15092629014,369443.60812071763,381219.8751728907,389256.5686630789,396265.75546747824,392914.4807139547,394395.4314272219,429256.02615723497,459288.8008101522,471277.5882499732,494916.1530096711,521490.73702344735
84626,2403,60624,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,104633.95540917153,110520.4215865545,114990.66755574725,122828.91905120174,132160.36971689065,144047.734305468,165728.11846221008,178712.65087455892,175509.25521873208,131759.91303902885,99455.17616036662,71578.8476665387,66933.47099789216,66314.80536138768,85828.66349868278,102496.51926526958,119500.57531219117,124492.02358879376,138380.83406139124,151994.47689613092,167074.97532159626,197801.223338537,199040.60341749492,187018.95399959025,192749.00120522865,200154.789398048
84445,2620,60202,zip,IL,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,206739.45903107783,231538.8471362194,255185.63310402297,283039.8628206823,303250.2259110275,326545.333273178,350048.95805317233,356960.8571428464,332008.99013743724,289091.3265388362,270125.8934030247,246177.055605583,213246.82078046733,219727.92357048858,249155.10988242974,258564.02226251736,267840.82081584143,280117.0488481834,292287.0764119821,289686.0466489356,291805.03250461613,309719.1075880398,326623.9082512494,335254.45718046266,348299.7031148065,362016.5356237301
84464,2642,60409,zip,IL,IL,Calumet City,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,74409.31761473535,79499.24434482671,84141.20390676787,86890.76569636313,93089.92143528957,102896.80130962179,110713.38453759532,112157.52700544341,104030.88683371157,83627.26213605306,69014.61277395322,57857.73450035963,47805.13206427469,47188.07636183031,52291.57019919677,52918.460878480626,57936.07165112315,66944.3096163755,83175.78273885729,91650.3223398209,99685.72139970366,124792.63412360293,147960.00683510717,143568.924470327,150645.19724917182,154616.26720035117
84613,2735,60611,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,266145.54948794516,302648.7832197588,330925.39668809425,343501.0459469625,356740.18231034995,381879.8016354847,407438.00855376566,412998.59400134726,402922.48438134574,380443.3724681716,359179.1845045599,335830.6994879258,319772.64038202283,345381.4814969482,377248.2215707751,375665.2010648763,374494.85404597945,374744.04463194654,371064.97437398974,355937.37847931596,346550.35069831426,339909.70859753474,339587.378220686,329782.94585704326,329219.3659443766,329117.9165021832
84650,2749,60653,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,176560.0637824744,201580.93677853714,210222.30020373783,236865.34242302817,264317.60251946753,303811.877856905,339000.81778134016,357224.5337598285,345233.4123313049,301663.27536876436,270060.2338765057,220612.662174764,173916.40795833067,171375.2613096515,194846.9282824685,212820.8152532157,228375.9023866514,249375.62447920753,276807.83791643183,287221.46058473835,298867.35374352324,323860.5532086434,331760.30536409904,321552.61137775955,319742.3969100762,314575.0304105904
84614,2793,60612,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,198530.6988811056,225861.94468472817,247845.3630009055,278922.3807868093,302349.4503817398,342122.36028261326,379483.38661846984,390241.047389807,371554.5113522852,320677.1617756498,284729.8166478071,230415.42413765556,185069.25019370508,192900.48834914,228579.24277260734,259499.77353770833,282937.2751997069,296695.1733732753,317836.786350302,323752.7181144331,332418.58531357173,351998.69380539615,349569.6480443878,335130.6647744948,337435.0603287471,334699.1626207665
