ZCTA5A,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024
46348,3.943324937027708,4.016568047337279,4.028801843317972,3.984472049689441,3.915704387990762,3.841287458379578,3.7799564270152506,3.710583153347732,3.6538922155688622,3.657894736842105,3.892972972972973,4.122685185185185,4.307604994324631,4.296691568836713
46349,4.3546944858420265,4.338033685859773,4.462647928994083,4.368552412645591,4.143134966938934,3.965313028764805,3.9766787293928423,4.025728987993139,4.0301707026597855,4.097145291861952,4.074977416440831,4.376259307928165,4.448315467075038,4.440604026845637
46350,4.026490066225166,4.022743466241058,3.9413113250802394,3.920312902948509,3.8546772523299966,3.817057956220937,3.804647160068847,3.888479314940312,3.9270489510489512,3.9255863065466263,4.073569260784739,4.220212476164533,4.286942284076955,4.27812079800225
46356,4.469329073482428,4.440306946688207,4.431764224314367,4.383963546246703,4.372728000640564,4.374533582089552,4.374657116732704,4.419458467186783,4.436490291981621,4.352559263173788,4.390085592011412,4.471551107934239,4.447481243301179,4.395109054857898
46360,3.900470949017031,3.871165477033728,3.829560657141328,3.797066940851778,3.676081249136383,3.676472219141621,3.744176997053755,3.740630228667039,3.792147043447157,3.714401929982047,3.7810482180293503,3.8584225475202096,3.938647523484201,4.022332306868389
46365,3.848851269649335,4.133333333333334,4.364520048602673,4.197287299630086,4.079676674364896,3.7217514124293785,4.035135135135135,3.722921914357683,3.8466076696165192,3.759259259259259,4.057692307692308,3.7015625,3.854026845637584,3.6164179104477614
46366,3.78121546961326,3.647598253275109,3.6389075442131182,3.558568570793509,3.433333333333333,3.3507828931993457,3.359151682803135,3.360556428090644,3.3779271968467426,3.251487414187643,3.440769411212761,3.8151320485367592,3.908034849951597,3.791157102539981
46368,4.264136734226122,4.2781661518452285,4.318747304515145,4.309121289561627,4.309464775695064,4.301075959531074,4.358788271504941,4.399150404037178,4.438804464342014,4.390299110751819,4.449675067364083,4.471671689956465,4.565934897804693,4.589211868755471
46371,3.893641180923543,3.788667687595712,3.859334081556304,4.154323239693542,4.005549774540409,4.0355587808418,4.171212121212121,4.159090909090909,3.968624296057925,4.162962962962963,4.238113795791114,4.407948094079481,4.36687357072852,4.428155692979265
46373,4.5329272934906735,4.555649877381626,4.476262716401927,4.438602681721948,4.211222869242985,4.312654429932933,4.288560632085194,4.277609616881432,4.299984043401946,4.059900166389351,4.117361927144536,4.009356081452944,3.9365767719203135,3.868558923005504
46374,3.891089108910891,3.788124156545209,3.512328767123288,3.8535620052770447,3.319548872180451,3.532,3.636498516320475,4.113314447592068,4.380794701986755,4.462365591397849,3.944244604316547,4.070133010882708,3.6304062909567496,4.17152466367713
46375,4.40061556791104,4.414151822955002,4.4619743965997065,4.4829107505071,4.279181832162814,4.31007550117157,4.308760465591178,4.306043956043956,4.256045301499847,4.354881946592432,4.462812376041254,4.4583189548927775,4.477719465648855,4.398675679404056
46376,4.03125,3.891228070175439,3.8767123287671232,3.956834532374101,4.153846153846154,3.975806451612903,3.9174311926605503,3.742105263157895,3.78125,3.753968253968254,4.021739130434782,4.416107382550336,4.577586206896552,4.562068965517241
46377,4.094017094017094,4.283898305084746,4.482213438735178,4.394052044609666,3.861671469740634,3.692,3.363970588235294,3.3181818181818183,3.168831168831169,3.386363636363636,4.632352941176471,4.441176470588236,3.048387096774193,3.1666666666666665
46379,3.741830065359477,4.246031746031746,4.461988304093567,3.949612403100775,2.491869918699187,3.7222222222222223,3.25,3.360655737704918,3.239130434782609,3.981012658227848,4.15819209039548,4.211864406779661,4.141221374045801,4.022408963585434
46381,3.5186567164179103,3.487704918032787,4.254237288135593,4.596153846153846,3.8260869565217392,4.333333333333333,3.3541666666666665,3.1796875,3.7836538461538463,3.7556818181818175,3.794416243654823,4.1157407407407405,4.807692307692308,5.133663366336633
46382,4.33085896076352,4.447238928376162,4.523347483323226,4.31870114251353,4.458607095926412,4.276190476190476,4.38477508650519,4.257342657342657,3.840778097982709,3.846439628482972,3.876595744680851,3.812817258883249,3.923633969716919,4.171626297577855
46383,4.272132507818983,4.312911555842479,4.290631280104629,4.292564077575285,4.2288113860751375,4.309314084014374,4.348963642541624,4.335622394818125,4.342262432736089,4.354647545112448,4.415643693476597,4.475594883575825,4.519387980556783,4.59557167188616
46385,4.457905475465766,4.435797140544915,4.389793810998968,4.437610576768424,4.322854324235449,4.3036466801606,4.287245164662833,4.314254753226283,4.261597057195872,4.235177430019837,4.321335197908433,4.396462609423082,4.410670786049551,4.419526168168527
46390,4.34647762516615,4.370796867802856,4.297512904739559,4.089430894308944,4.033826638477802,4.198669991687448,4.121063394683026,4.190247801758593,4.364377182770664,4.336666666666667,4.492985190958691,4.648692152917505,4.4225408203902825,4.10706450197455
46391,4.179698216735254,4.309924306139613,4.247753818508535,4.188365650969529,4.102679630068769,4.127958753222405,4.161061946902655,4.203950288504217,4.29639359923573,4.285576923076923,4.206314774644492,4.129941035160515,4.2292351008916,4.084649655731066
46392,4.2232976736288,4.295825459543034,4.233153404144176,4.201682058047494,4.053018899481518,4.165693043016463,4.153162393162393,4.278240586471176,4.246825799898426,4.233557742102538,4.379850238257318,4.275173464207142,4.218927024325225,4.081664827368753
46393,3.773809523809524,3.801587301587301,4.227272727272728,3.8011049723756902,3.690082644628099,3.8461538461538463,3.934156378600823,4.020161290322581,3.7125,3.722772277227723,3.8640350877192975,3.6777777777777776,3.246913580246914,4.309859154929577
46394,4.115248575358617,4.078084641366978,4.067263640149937,4.011234807476254,3.895922746781116,3.8657186278766815,3.9122377249973375,3.83338431732436,3.875657096643753,3.935251798561151,4.067774018250795,4.218949680511182,4.383613403599483,4.38135848299388
46402,3.5174248927038625,3.436549165120593,3.4595290654893303,3.4702555100448604,3.1537122969837585,2.9309035687167806,2.867472190257,2.834148176006017,2.955762081784387,3.1665407854984893,3.5337526205450733,3.821343702743573,3.906214689265537,3.8241782484006177
46403,4.112380595617156,4.028095636803424,4.07754911131899,3.925411569943898,3.893267944716897,3.952635204960386,3.9882537196554426,3.8495158111234895,3.99544149924025,3.952248451665021,4.0650030807147255,4.24777957206298,4.314373028391167,4.238292418416642
46404,3.8269583627381794,3.770306258322237,3.759075667006852,3.763341067285383,3.43622164373373,3.379710780017529,3.4464336661911554,3.517339980937019,3.5821264570823037,3.674927423351979,3.8191513849459056,3.994662061386294,4.02941647964091,3.956152876942461
46405,4.027138249360472,4.061010705652124,3.9560595322466336,3.8862792091072498,3.953074027603513,3.925503610794375,3.893614287549788,3.949641193503714,4.057991696938246,4.018579522993806,4.199884125144844,4.345861987194688,4.508873639375296,4.494991558806978
46406,3.5993863393810037,3.697027283833311,3.5888117599020006,3.657016746722056,3.5393867301083795,3.4145015906680807,3.429586733350882,3.350870552611658,3.4510803918937056,3.593654932637984,3.693149381541389,3.716568671792552,3.979226253198856,3.920992256954402
46407,3.305641387834378,3.337265721624964,3.391173908835769,3.332104752667313,3.055392107131988,2.9127235564639755,2.968358331621122,3.0681623931623934,3.1000664893617023,3.1798904220779223,3.2603650429106734,3.2859212750543345,3.3568433091879526,3.2552014748485645
46408,3.81284650720735,3.881736526946108,3.841974715954553,3.8049955105705657,3.660837705054543,3.627345844504021,3.623633933485337,3.6551805337519614,3.660551168911596,3.5321637426900585,3.7406694560669456,3.890566037735849,4.025787255145053,4.069094760857166
